paiva,suunnitellut,ajetut,ajamatta,luotettavuus,Nobina Finland,Koiviston Auto,Pohjolan Liikenne,Tammelundin Liikenne
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-14,19655,19267,388,98.03,98.48,98.35,96.61,99.74
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-15,19655,19414,241,98.77,98.46,98.71,98.83,99.83
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-16,20077,19841,236,98.82,99.13,99.18,97.81,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-17,14000,13926,74,99.47,99.5,99.2,99.58,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-18,11602,11548,54,99.53,99.35,99.4,99.76,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-19,19655,19448,207,98.95,98.65,98.61,99.24,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-20,19655,19505,150,99.24,98.93,99.86,98.9,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-21,19655,19503,152,99.23,99.39,98.93,99.09,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-22,19655,19516,139,99.29,98.95,99.44,99.38,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-23,20077,19772,305,98.48,98.84,98.29,97.76,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-24,14000,13802,198,98.59,99.09,97.4,98.68,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-25,11602,11424,178,98.47,98.67,97.27,98.96,100.0
2026-01-26,19655,19398,257,98.69,98.98,99.07,97.69,99.57
2026-01-26,19655,19398,257,98.69,98.98,99.07,97.69,99.57
2026-01-26,19655,19398,257,98.69,98.98,99.07,97.69,99.57
2026-01-26,19655,19398,257,98.69,98.98,99.07,97.69,99.57
2026-01-26,19655,19398,257,98.69,98.98,99.07,97.69,99.57
2026-01-26,19655,19398,257,98.69,98.98,99.07,97.69,99.57
2026-01-27,19655,19429,226,98.85,98.98,99.23,98.11,100.0
2026-01-27,19655,19429,226,98.85,98.98,99.23,98.11,100.0
2026-01-27,19655,19429,226,98.85,98.98,99.23,98.11,100.0
2026-01-27,19655,19429,226,98.85,98.98,99.23,98.11,100.0
2026-01-27,19655,19429,226,98.85,98.98,99.23,98.11,100.0
2026-01-27,19655,19429,226,98.85,98.98,99.23,98.11,100.0
